作品ID,論理,制御フロー,同期,抽象化,データ表現,ユーザとの対話性,並列処理,CTスコア
1020384861,3,3,3,2,3,2,3,19
804417544,3,3,2,3,3,2,3,19
643890035,3,3,2,3,3,2,2,18
776699718,2,2,1,1,3,2,0,11
1043346096,2,2,3,1,3,2,2,15
1032756481,0,2,1,1,1,1,1,7
1070349798,0,2,1,1,1,1,1,7
886847573,0,2,1,1,1,2,2,9
690521265,1,2,2,3,3,1,3,15
1078718606,0,2,2,1,1,2,1,9
884440214,2,2,2,3,3,2,3,17
1050530682,2,2,1,1,2,2,3,13
1079886943,3,2,3,1,1,2,2,14
1071160102,0,2,1,1,1,1,1,7
1076102736,0,1,0,1,1,2,0,5
1077505581,0,1,0,1,1,2,2,7
950470024,3,3,3,3,3,2,3,20
941543993,3,3,2,2,2,2,3,17
1051893874,0,2,2,1,1,1,3,10
1003825797,3,3,3,3,2,2,3,19
1037689538,0,2,0,1,1,2,1,7
1034322354,0,2,0,1,1,2,1,7
1035312673,0,2,0,1,1,2,1,7
1035248316,0,2,2,1,1,2,1,9
1034625096,0,2,0,1,1,2,1,7
1034449627,3,2,2,2,3,1,1,14
1032876293,0,1,0,1,1,2,2,7
1029377923,0,2,0,1,1,2,2,8
1028044573,3,3,0,2,2,2,3,15
1024573942,0,1,0,1,1,2,0,5
1016431789,0,2,0,1,1,2,1,7
1038704581,0,2,0,1,1,2,1,7
1064826838,0,2,0,1,1,1,1,6
1071042026,0,2,1,2,3,1,1,10
1073589464,0,0,0,0,0,0,0,0
910432132,0,0,0,0,0,0,0,0
1073108511,0,0,0,0,0,0,0,0
1083226856,0,2,3,3,2,1,3,14
1022859647,0,2,3,1,2,1,3,12
511117852,1,2,2,1,1,2,1,10
502659852,2,1,0,1,1,2,0,7
502565939,1,1,0,1,1,1,1,6
503857228,2,1,0,0,1,2,0,6
503845719,2,2,2,1,1,2,1,11
502652015,1,2,0,1,1,2,0,7
180799165,0,1,0,1,1,2,0,5
168888257,3,2,0,1,1,2,1,10
167865349,1,1,0,0,1,2,0,5
411683888,2,1,0,1,0,2,0,6
167863545,1,1,0,1,1,2,0,6
411682472,1,1,0,1,1,2,0,6
411684817,0,2,3,1,1,2,1,10
535624932,0,2,2,1,1,2,3,11
1064586636,0,2,2,1,2,2,3,12
224896574,3,3,3,3,3,2,3,20
743188755,3,3,2,1,2,2,3,16
1079309109,0,0,0,0,0,0,0,0
1061924903,3,3,3,3,2,2,3,19
1011872002,3,2,3,3,2,2,3,18
928536764,0,2,1,1,2,2,1,9
923325406,0,0,0,0,0,0,0,0
621172683,3,3,3,3,2,2,3,19
884410653,3,3,3,3,3,2,3,20
639484052,3,2,3,3,2,2,3,18
807524487,3,3,3,3,3,2,3,20
1033205765,3,3,3,3,3,2,3,20
1052720961,3,3,2,3,2,2,1,16
823447133,3,3,3,3,3,2,3,20
512998261,0,1,2,1,1,1,1,7
921530093,3,3,3,3,3,2,3,20
456857547,3,3,3,3,3,2,3,20
398524805,0,0,0,0,0,0,0,0
584760335,0,2,0,1,1,2,1,7
556741506,0,1,2,1,0,2,3,9
976597594,0,2,0,0,0,1,0,3
718222333,0,0,0,0,0,0,0,0
745077975,0,2,0,0,1,1,0,4
1052213789,0,0,0,0,0,0,0,0
553535316,0,2,2,3,1,1,3,12
61214422,0,0,0,0,0,0,0,0
852672317,0,2,3,1,1,1,3,11
813709345,0,0,0,0,0,0,0,0
817664836,0,2,2,1,1,1,3,10
748185365,0,0,0,0,0,0,0,0
655445955,0,2,0,1,1,1,1,6
1074304765,0,2,0,1,1,1,1,6
978116098,3,2,0,3,2,2,2,14
1070405685,0,0,0,0,0,0,0,0
107087774,0,0,0,0,0,0,0,0
1069198147,0,0,0,0,0,0,0,0
955199767,2,3,1,1,1,1,1,10
1064111406,2,1,2,1,2,2,3,13
1063015768,0,2,2,1,1,1,1,8
919004522,0,2,0,0,0,1,0,3
1060827015,2,2,2,3,2,2,3,16
1077137586,0,0,0,0,0,0,0,0
1047194755,3,2,3,2,2,2,0,14
767660172,0,2,1,1,1,1,1,7
399864687,3,2,3,3,3,2,3,19
844609813,0,0,0,0,0,0,0,0
837944942,0,2,1,1,1,1,1,7
998061025,0,1,2,1,1,1,1,7
347792551,0,2,0,0,0,1,0,3
992827869,0,0,0,0,0,0,0,0
942828873,0,2,1,1,1,1,1,7
546931104,0,0,0,0,0,0,0,0
945662618,0,0,0,0,0,0,0,0
382706757,2,2,2,1,1,2,3,13
315862946,3,3,3,2,3,2,3,19
144790962,3,3,3,1,2,2,3,17
220885715,3,3,3,1,3,2,3,18
488315821,2,1,0,1,2,2,2,10
18337277,0,0,0,0,0,0,0,0
669015766,3,3,3,2,3,2,3,19
516450718,3,3,3,2,3,2,3,19
423381454,3,3,3,1,3,2,3,18
167163265,3,3,3,2,3,2,3,19
951355905,2,3,3,1,2,2,2,15
1013840093,0,2,0,1,1,2,1,7
997611208,0,0,0,0,0,0,0,0
993248307,0,2,1,1,1,1,1,7
999539275,0,1,0,1,1,2,0,5
996525895,0,0,0,0,0,0,0,0
997410351,0,2,0,1,1,2,1,7
984128842,3,3,2,3,1,2,1,15
938241855,3,3,2,3,2,2,1,16
968648754,3,3,2,3,2,2,3,18
937912179,3,3,2,1,2,2,3,16
929689715,1,3,2,3,2,2,3,16
1004936676,0,1,2,1,1,1,1,7
1083329295,0,2,0,1,1,1,0,5
1080670772,0,1,0,0,0,1,0,2
1074363935,0,2,2,1,1,1,1,8
1062542148,0,2,1,1,1,2,0,7
327830822,2,2,3,3,2,2,3,17
561669616,3,2,2,1,2,2,3,15
734463649,0,1,3,1,1,2,3,11
989698619,0,2,1,1,1,1,1,7
203956143,0,1,1,1,1,1,1,6
980118341,0,1,1,1,1,2,0,6
964683545,0,0,0,0,0,0,0,0
957721628,2,2,0,1,1,2,1,9
93822764,0,0,0,0,0,0,0,0
721677623,0,2,0,1,1,2,1,7
901176231,0,2,0,0,0,1,0,3
562189847,0,2,2,1,1,1,3,10
1025916073,0,2,2,1,2,1,3,11
1036526392,0,2,1,1,1,1,1,7
1062422076,0,2,1,0,1,1,0,5
545937525,3,3,2,3,2,2,3,18
1007374003,1,2,2,1,2,1,3,12
1049125565,0,0,0,0,0,0,0,0
1048372151,0,2,0,1,1,1,1,6
1045595112,3,2,2,3,1,2,3,16
1048183478,0,1,0,0,0,1,0,2
1046062835,0,2,1,1,1,1,1,7
1042242497,0,2,2,1,1,2,1,9
1039246443,0,2,2,1,1,2,1,9
1051804096,0,2,0,1,1,2,1,7
731361771,2,1,3,1,2,3,3,15
413735343,0,0,0,0,0,0,0,0
545562281,3,3,2,1,2,2,1,14
833836631,0,2,2,1,1,1,1,8
1018014065,0,0,0,0,0,0,0,0
1080749284,3,2,3,1,2,2,3,16
124813258,0,0,0,0,0,0,0,0
425063869,0,1,0,1,0,2,2,6
1058714292,0,2,2,2,2,1,3,12
1046458381,0,0,0,0,0,0,0,0
746538626,0,2,2,1,1,1,1,8
958060535,0,2,0,0,0,1,0,3
703393246,0,2,0,0,0,1,0,3
227069842,3,3,3,2,2,2,3,18
554273537,0,0,0,0,0,0,0,0
36711178,3,3,3,3,3,2,3,20
1053456464,0,1,2,1,0,1,3,8
1080493648,0,0,0,0,0,0,0,0
662691447,3,2,3,3,2,2,3,18
485406774,0,2,0,1,2,1,1,7
1048670575,0,2,1,1,1,1,1,7
1035397144,3,2,3,2,2,2,3,17
605152743,0,0,0,0,0,0,0,0
187486734,3,3,3,3,2,2,3,19
147649973,0,0,0,0,0,0,0,0
865319763,0,2,2,1,1,1,3,10
988977734,0,2,0,1,1,1,1,6
973838612,0,2,0,2,1,1,1,7
116148495,0,0,0,0,0,0,0,0
1072241666,0,1,0,0,0,2,0,3
1070821343,3,2,3,1,2,2,3,16
971359353,3,3,3,3,2,2,3,19
236394375,0,0,0,0,0,0,0,0
886402741,3,2,3,1,3,2,3,17
1060258683,0,0,0,0,0,0,0,0
1051165672,2,3,2,3,2,1,3,16
1052039396,3,2,0,1,2,2,1,11
1046422485,3,2,2,3,2,2,1,15
1046139285,0,1,0,1,1,1,1,5
980048262,3,3,3,1,2,2,1,15
1003607036,3,3,3,2,1,2,1,15
1006066185,3,3,2,2,1,2,3,16
987496945,3,3,3,3,2,2,3,19
756917291,3,3,3,3,3,2,3,20
602494408,3,3,3,3,3,2,3,20
1066568769,0,2,2,1,1,2,2,10
670037873,1,2,2,1,1,2,1,10
647582551,3,3,3,3,2,2,3,19
635142834,3,3,3,3,3,2,3,20
627758293,0,2,2,1,1,1,3,10
654049368,3,2,3,3,2,2,3,18
554501396,0,0,0,0,0,0,0,0
975607048,0,2,2,1,1,2,1,9
909033162,0,2,1,1,1,1,1,7
1035077547,0,1,0,0,1,1,0,3
1024211466,0,0,0,0,0,0,0,0
1009852148,0,0,0,0,0,0,0,0
1077612105,0,2,1,1,1,1,1,7
1071540209,1,2,1,1,1,1,1,8
1062029673,0,2,1,2,2,1,1,9
1061959283,0,0,0,0,0,0,0,0
973523559,0,2,1,1,2,1,0,7
1004804551,3,3,3,3,3,2,3,20
980441842,2,2,2,1,2,2,3,14
122614437,0,0,0,0,0,0,0,0
991964258,2,1,0,2,2,2,0,9
879829444,3,3,3,3,2,1,3,18
899965154,3,3,3,3,2,2,3,19
878465277,3,3,3,3,3,2,3,20
669438474,3,3,3,3,3,2,3,20
655000031,3,3,3,3,3,2,3,20
678636729,3,3,3,3,3,2,3,20
1046554143,0,2,2,1,3,1,1,10
961189051,3,2,3,3,2,2,3,18
1030515703,3,3,2,2,3,2,2,17
1039286304,3,2,3,3,2,2,3,18
704844016,3,3,3,3,2,2,3,19
960679103,2,2,2,3,2,1,1,13
1072057464,0,2,0,1,1,1,1,6
937847608,0,1,0,1,1,1,0,4
1059898703,0,2,0,1,1,1,0,5
1051235566,0,2,0,1,1,1,1,6
12772683,0,0,0,0,0,0,0,0
996349727,3,3,3,3,3,1,3,19
979836626,0,2,2,1,1,1,1,8
492529759,0,2,2,1,1,1,1,8
